artwork_id,image_id,date,title_fr,title_en,title_lang,medium,support,width_cm,height_cm,width_in,height_in,tags,show,favorite,possessor,notes
mj-20220626,img-20220626,2022-06-26,Mais qu’allons nous faire de toi ?,what are we going to do with you?,en,acrylic marker on black paper,paper,,,11,8.5,,1,1,Françoise Fargeix,
mj-20220611-2,img-20220611-2,2022-06-11,sédentarité,sedentarity,fr,acrylic marker on black paper,paper,,,11,8.5,,1,0,Martin Jambon,
mj-20220611-1,img-20220611-1,2022-06-11,attaque,attack,fr,acrylic marker on white paper,paper,,,12,9,,1,0,Martin Jambon,
mj-20220530,img-20220530,2022-05-30,duel,duel,en,acrylic marker on white paper,paper,,,12,9,,1,1,Kathy Jambon,
mj-20220529,img-20220529,2022-05-29,isolement culturel forcé,forced cultural isolation,fr,acrylic marker on white paper,paper,,,12,9,,1,0,Martin Jambon,
mj-20220523,img-20220523,2022-05-23,effondrement,meltdown,en,acrylic marker on black paper,paper,,,11,8.5,,1,0,Martin Jambon,
mj-20220521,img-20220521,2022-05-21,la visite,the visit,fr,acrylic marker on black paper,paper,,,11,8.5,,1,0,Martin Jambon,
mj-20220508-2,img-20220508-2,2022-05-08,le paysan moderne,the modern peasant,fr,chalk,,,,,,"ephemeral,outdoors",1,0,nobody,
mj-20220508-1,img-20220508-1,2022-05-08,pop américaine,American pop,en,acrylic marker on black paper,paper,,,11,8.5,,1,0,Martin Jambon,
mj-20220507,img-20220507,2022-05-07,statuette no. 1,statuette #1,fr,air-dry clay and acrylic marker,,,,,,sculpture,1,0,Martin Jambon,
mj-20220506,img-20220506,2022-05-06,vapeurs toxiques,toxic fumes,en,acrylic marker on black paper,paper,,,11,8.5,,1,0,Martin Jambon,
mj-20220504-2,img-20220504-2,2022-05-04,derniers moments,final moments,en,acrylic marker on white paper,paper,,,12,9,,1,0,Martin Jambon,
mj-20220504-1,img-20220504-1,2022-05-04,labourage et pâturage,,fr,acrylic marker on white paper,paper,,,12,9,,1,1,Kathy Jambon,
mj-20220503,img-20220503,2022-05-03,chirurgie,surgery,en,acrylic marker on black paper,paper,,,11,8.5,,1,0,Martin Jambon,
mj-20220502,img-20220502,2022-05-02,,bandwagon,en,acrylic marker on black paper,paper,,,11,8.5,,1,0,Martin Jambon,
mj-20220429,img-20220429,2022-04-29,bulles,bubbles,en,acrylic marker on white paper,paper,29.7,21,,,,1,1,Martin Jambon,"The signature in the lower-right corner was covered up in white paint, then digitally edited out."
mj-20220426-2,img-20220426-2,2022-04-26,forme flottante bleue,floating blue shape,en,acrylic marker on white paper,paper,29.7,21,,,,1,0,Françoise Fargeix,
mj-20220426-1,img-20220426-1,2022-04-26,l'idée de la neige,the idea of snow,fr,acrylic marker on black paper,paper,29.7,21,,,,1,0,Martin Jambon,
mj-20220424,img-20220424,2022-04-24,archéologie,archaeology,fr,acrylic marker on black paper,paper,29.7,21,,,,1,1,Martin Jambon,
mj-20220419,img-20220419,2022-04-19,votre choix de viande,your choice of meat,en,acrylic marker on black paper,paper,29.7,21,,,,1,1,Martin Jambon,
mj-20220415,img-20220415,2022-04-15,participation,participation,en,acrylic marker on white paper,paper,,,12,9,,1,1,Martin Jambon,
mj-20220413-2,img-20220413-2,2022-04-13,eau,water,en,acrylic marker on black paper,paper,29.7,21,,,monochrome,1,0,Martin Jambon,
mj-20220413-1,img-20220413-1,2022-04-13,printemps,springtime,en,acrylic marker on black paper,paper,29.7,21,,,,1,1,Martin Jambon,
mj-20220409,img-20220409,2022-04-09,conflit,conflict,en,acrylic marker on black paper,paper,29.7,21,,,monochrome,1,0,Kathy Jambon,
mj-20220405,img-20220405,2022-04-05,insouciance,insouciance,fr,acrylic marker on black paper,paper,29.7,21,,,monochrome,1,1,Martin Jambon,
mj-20220403-3,img-20220403-3,2022-04-03,procréation,procreation,en,acrylic marker on black paper,paper,29.7,21,,,monochrome,1,0,Martin Jambon,
mj-20220403-2,img-20220403-2,2022-04-03,vue sur mer,ocean view,en,acrylic on canvas,canvas,,,8,8,painting,1,0,Martin Jambon,
mj-20220403-1,img-20220403-1,2022-04-03,parasites,parasites,en,acrylic on canvas,canvas,,,8,8,painting,1,0,Martin Jambon,
mj-20220401-6,img-20220401-6,2022-04-01,ce qui reste de l’Amérique,what’s left of America,en,photography,,,,,,ephemeral,1,0,nobody,
mj-20220401-5,img-20220401-5,2022-04-01,orage,rainstorm,en,charcoal pencil on paper,paper,,,12,9,monochrome,1,0,Martin Jambon,
mj-20220401-4,img-20220401-4,2022-04-01,joue avec ta nourriture,play with your food,en,acrylic marker on black paper,paper,29.7,21,,,,1,1,Martin Jambon,
mj-20220401-3,img-20220401-3,2022-04-01,rassemblement,gathering,en,acrylic marker on brown paper,paper,29.7,21,,,monochrome,1,0,Martin Jambon,
mj-20220401-2,img-20220401-2,2022-04-01,bubble gum,bubble gum,en,acrylic marker on white paper,paper,29.7,21,,,monochrome,1,0,Martin Jambon,
mj-20220401-1,img-20220401-1,2022-04-01,,Jenny was a friend of conifers,en,acrylic marker on white paper,paper,,,12,9,monochrome,1,0,Martin Jambon,
mj-20220330,img-20220330,2022-03-30,influence,influence,en,acrylic marker on brown paper,paper,29.7,21,,,monochrome,1,1,Martin Jambon,
mj-20220329,img-20220329,2022-03-29,la vie à la campagne,country life,en,acrylic marker on black paper,paper,21,29.7,,,,1,0,Martin Jambon,
mj-20220322-2,img-20220322-2,2022-03-22,soleil patatoïde terrifiant,,fr,acrylic marker on black paper,paper,29.7,21,,,,1,1,Martin Jambon,
mj-20220322-1,img-20220322-1,2022-03-22,menaces multiples,multiple threats,en,acrylic marker on paper,paper,29.7,21,,,,0,0,Martin Jambon,
mj-20220320-2,img-20220320-2,2022-03-20,floraison,in bloom,en,acrylic marker on brown paper,paper,29.7,21,,,,1,0,Martin Jambon,
mj-20220320-1,img-20220320-1,2022-03-20,incrusté dans l'espace-temps,embedded in spacetime,en,acrylic marker on brown paper,paper,29.7,21,,,monochrome,1,1,Martin Jambon,
mj-20220317,img-20220317,2022-03-17,l'ennui,boredom,en,acrylic marker on black paper,paper,21,29.7,,,,1,1,Martin Jambon,
mj-20220313,img-20220313,2022-03-13,propagande,propaganda,en,acrylic on canvas,canvas,,,14,11,painting,1,0,Martin Jambon,
mj-20220312-7,img-20220312-7,2022-03-12,,,,charcoal and acrylic,paper,29.7,21,,,,1,0,Martin Jambon,The date is approximate
mj-20220312-6,img-20220312-6,2022-03-12,,,,charcoal pencil on paper,paper,21,27,,,"charcoal,portrait,monochrome",0,0,Martin Jambon,The date is approximate
mj-20220312-5,img-20220312-5,2022-03-12,,,,charcoal pencil on paper,paper,18,24,,,"charcoal,portrait,monochrome",0,0,Martin Jambon,The date is approximate
mj-20220312-4,img-20220312-4,2022-03-12,portrait d´un rêveur,portrait of a dreamer,en,charcoal pencil on paper,paper,21,29.7,,,"charcoal,portrait,monochrome",1,0,Martin Jambon,
mj-20220312-3,img-20220312-3,2022-03-12,Alice Jambon,Alice Jambon,en,charcoal pencil on paper,paper,21,29.7,,,"charcoal,portrait,monochrome",1,0,Martin Jambon,
mj-20220312-2,img-20220312-2,2022-03-12,portrait d´une fille,portrait of a girl,en,charcoal pencil on paper,paper,21,29.7,,,"charcoal,portrait,monochrome",1,0,Martin Jambon,
mj-20220312-1,img-20220312-1,2022-03-12,un homme vulnérable,vulnerable man,en,charcoal pencil on paper,paper,21,29.7,,,"charcoal,portrait,monochrome",1,0,Martin Jambon,
